ID_Envio,Operador_Logistico,Tipo_Paquete,Tipo_Vehiculo,Modo_Envio,Zona,Clima,Distancia_Km,Peso_Kg,Tiempo_Real_Hs,Tiempo_Esperado_Hs,Con_Demora,Estado_Envio,Calificacion,Costo_Envio,Desvio_Hs
250.99,Delhivery,Autopartes,Motocicleta,Mismo día,Oeste,Despejado,297.0,46.96,8.0,8.0,No,Entregado,3,1632.7206,0.0
250.99,Xpressbees,Cosmética,Furgoneta,Expreso,Centro,Frío,89.6,47.39,2.0,3.0,No,Entregado,5,640.17,-1.0
250.99,Dhl,Electrónica,Furgoneta,Mismo día,Este,Frío,269.7,12.69,6.0,8.0,No,Entregado,3,1486.57,-2.0
250.99,Dhl,Indumentaria,Furgoneta,48 hs,Norte,Neblina,256.7,37.02,9.0,16.0,No,Entregado,4,1394.56,-7.0
250.99,Amazon logistics,Documentación,Motocicleta,Expreso,Oeste,Lluvia,48.4,33.15,4.0,2.0,Si,Demorado,3,391.45,2.0
250.99,Xpressbees,Frágil,Furgoneta,Mismo día,Norte,Frío,114.6,42.63,4.0,8.0,No,Entregado,3,800.89,-4.0
250.99,Blue dart,Indumentaria,Furgoneta,Mismo día,Sur,Calor,142.4,14.06,5.0,8.0,No,Entregado,5,854.18,-3.0
250.99,Delhivery,Farmacia,Camión,Mismo día,Este,Neblina,47.1,29.28,3.0,8.0,No,Entregado,5,423.34,-5.0
250.99,Ecom express,Electrónica,Camión,48 hs,Este,Frío,80.4,46.48,3.0,16.0,No,Entregado,5,541.44,-13.0
250.99,Xpressbees,Farmacia,Furgoneta,48 hs,Norte,Lluvia,257.7,20.56,8.0,16.0,No,Entregado,4,1350.18,-8.0
250.99,Xpressbees,Cosmética,Motocicleta,Expreso,Este,Tormenta,19.0,3.36,6.0,2.0,Si,Fallido,1,155.08,4.0
250.99,Xpressbees,Autopartes,Motocicleta,48 hs,Este,Tormenta,237.9,24.59,12.0,16.0,No,Entregado,3,1263.27,-4.0
250.99,Amazon logistics,Muebles,Furgoneta,Expreso,Norte,Calor,239.3,11.67,8.0,6.0,Si,Demorado,3,1281.51,2.0
250.99,Fedex,Documentación,Motocicleta,Estándar,Oeste,Tormenta,79.0,0.73,10.0,24.0,No,Entregado,5,397.19,-14.0
250.99,Blue dart,Frágil,Motocicleta,Estándar,Centro,Lluvia,170.7,45.62,11.0,24.0,No,Entregado,5,990.36,-13.0
250.99,Amazon logistics,Documentación,Furgoneta,Mismo día,Norte,Lluvia,90.0,33.7,4.0,8.0,No,Entregado,3,651.1,-4.0
250.99,Fedex,Cosmética,Camión,Expreso,Norte,Lluvia,64.0,6.03,7.0,3.0,Si,Fallido,2,388.09,4.0
250.99,Fedex,Autopartes,Motocicleta,48 hs,Este,Neblina,185.9,19.1,6.0,16.0,No,Entregado,4,986.8,-10.0
250.99,Dhl,Electrónica,Motocicleta,48 hs,Oeste,Tormenta,217.9,14.08,9.0,16.0,No,Entregado,4,1131.74,-7.0
250.99,Blue dart,Autopartes,Motocicleta,Mismo día,Norte,Frío,214.1,40.85,6.0,8.0,No,Entregado,5,1293.05,-2.0
250.99,Ecom express,Indumentaria,Motocicleta,Estándar,Centro,Despejado,251.7,34.9,8.0,24.0,No,Entregado,4,1363.2,-16.0
250.99,Amazon logistics,Muebles,Furgoneta,Estándar,Este,Neblina,214.9,5.67,7.0,24.0,No,Entregado,5,1091.51,-17.0
250.99,Shadowfax,Documentación,Furgoneta,48 hs,Norte,Tormenta,115.4,0.67,6.0,16.0,No,Entregado,4,578.59,-10.0
250.99,Dhl,Indumentaria,Motocicleta,Expreso,Este,Neblina,293.8,41.03,9.0,7.0,Si,Demorado,3,1632.7206,2.0
250.99,Amazon logistics,Cosmética,Motocicleta,Estándar,Este,Despejado,286.8,46.67,8.0,24.0,No,Entregado,3,1574.01,-16.0
250.99,Fedex,Muebles,Camión,Expreso,Sur,Calor,136.1,48.1,3.0,4.0,No,Entregado,5,874.8,-1.0
250.99,Dhl,Muebles,Motocicleta,48 hs,Este,Lluvia,291.4,6.12,13.0,16.0,No,Entregado,5,1475.36,-3.0
250.99,Fedex,Muebles,Motocicleta,Estándar,Sur,Calor,295.0,19.68,9.0,24.0,No,Entregado,5,1534.04,-15.0
250.99,Ekart,Cosmética,Camión,Mismo día,Centro,Lluvia,223.3,6.29,10.0,8.0,Si,Fallido,1,1235.37,2.0
250.99,Delhivery,Autopartes,Motocicleta,Expreso,Sur,Calor,242.5,46.73,10.0,6.0,Si,Fallido,1,1402.69,4.0
250.99,Fedex,Muebles,Motocicleta,48 hs,Centro,Lluvia,35.1,22.72,8.0,16.0,No,Entregado,5,243.66,-8.0
250.99,Amazon logistics,Indumentaria,Motocicleta,Expreso,Centro,Tormenta,81.8,45.51,5.0,3.0,Si,Demorado,2,595.53,2.0
250.99,Delhivery,Documentación,Motocicleta,Mismo día,Este,Despejado,37.6,22.81,3.0,8.0,No,Entregado,4,356.43,-5.0
250.99,Amazon logistics,Muebles,Motocicleta,Expreso,Norte,Lluvia,46.8,4.72,5.0,2.0,Si,Demorado,2,298.16,3.0
250.99,Amazon logistics,Electrónica,Motocicleta,Mismo día,Centro,Calor,233.4,18.0,5.0,8.0,No,Entregado,5,1321.0,-3.0
250.99,Ekart,Documentación,Motocicleta,Estándar,Este,Lluvia,62.2,48.58,7.0,24.0,No,Entregado,3,456.74,-17.0
250.99,Shadowfax,Indumentaria,Motocicleta,Estándar,Sur,Neblina,114.0,43.85,6.0,24.0,No,Entregado,4,701.55,-18.0
250.99,Blue dart,Autopartes,Motocicleta,Mismo día,Norte,Neblina,131.5,25.79,6.0,8.0,No,Entregado,5,834.87,-2.0
250.99,Xpressbees,Frágil,Camión,Estándar,Oeste,Tormenta,258.5,8.37,7.0,24.0,No,Entregado,5,1317.61,-17.0
250.99,Dhl,Muebles,Furgoneta,48 hs,Este,Lluvia,253.9,7.07,9.0,16.0,No,Entregado,3,1290.71,-7.0
250.99,Delhivery,Muebles,Motocicleta,Mismo día,Norte,Tormenta,6.7,7.96,6.0,8.0,No,Entregado,4,157.38,-2.0
250.99,Ecom express,Autopartes,Motocicleta,Estándar,Oeste,Calor,178.1,26.7,5.0,24.0,No,Entregado,4,970.6,-19.0
250.99,Fedex,Cosmética,Camión,Estándar,Sur,Calor,180.0,35.04,4.0,24.0,No,Entregado,3,1005.12,-20.0
250.99,Ecom express,Documentación,Motocicleta,48 hs,Norte,Lluvia,187.9,14.96,11.0,16.0,No,Entregado,4,984.38,-5.0
250.99,Xpressbees,Documentación,Furgoneta,Expreso,Oeste,Calor,78.3,49.22,4.0,3.0,Si,Fallido,1,589.16,1.0
